date,S,cases,era
2023-04-27,3.693589789,89.01,pre-2026
2023-05-04,3.680066314,90.66,pre-2026
2023-05-11,3.781490923,124.73,pre-2026
2023-05-18,3.757774474,165.34,pre-2026
2023-05-25,3.772017398,165.32,pre-2026
2023-06-01,3.764011838,205.84,pre-2026
2023-06-08,3.77339188,230.02,pre-2026
2023-06-15,3.717689081,256.67,pre-2026
2023-06-22,3.669380202,288.55,pre-2026
2023-06-29,3.668567132,350.89,pre-2026
2023-07-06,3.739870155,454.08,pre-2026
2023-07-13,3.767115921,552.0,pre-2026
2023-07-20,3.79164368,701.27,pre-2026
2023-07-27,3.798355795,802.46,pre-2026
2023-08-03,3.805958736,793.24,pre-2026
2023-08-10,3.822170495,702.11,pre-2026
2023-08-17,3.811669179,889.03,pre-2026
2023-08-24,3.815733111,925.82,pre-2026
2023-08-31,3.817031225,971.89,pre-2026
2023-09-07,3.827630376,949.6,pre-2026
2023-09-14,3.834458327,804.47,pre-2026
2023-09-21,3.836106742,513.23,pre-2026
2023-09-28,3.835731648,410.36,pre-2026
2023-10-05,3.830832773,246.87,pre-2026
2023-10-12,3.820959977,182.14,pre-2026
2023-10-19,3.811707229,155.2,pre-2026
2023-10-26,3.789593624,140.54,pre-2026
2023-11-02,3.775898946,118.71,pre-2026
2023-11-09,3.780002852,97.32,pre-2026
2023-11-16,3.769083474,93.42,pre-2026
2023-11-23,3.77641603,109.49,pre-2026
2023-11-30,3.78039942,131.85,pre-2026
2023-12-07,3.796282687,170.31,pre-2026
2023-12-14,3.790096076,201.72,pre-2026
2023-12-21,3.786762068,217.07,pre-2026
2023-12-28,3.799747218,281.19,pre-2026
2024-01-04,3.792828791,346.87,pre-2026
2024-01-11,3.810029449,439.55,pre-2026
2024-01-18,3.817351547,599.95,pre-2026
2024-01-25,3.811653999,712.12,pre-2026
2024-02-01,3.819713619,780.2,pre-2026
2024-02-08,3.819396062,677.97,pre-2026
2024-02-15,3.824124928,504.19,pre-2026
2024-02-22,3.826778071,397.76,pre-2026
2024-02-29,3.813150338,355.12,pre-2026
2024-03-07,3.815800693,337.67,pre-2026
2024-03-14,3.810619992,317.66,pre-2026
2024-03-21,3.812861159,267.96,pre-2026
2024-03-28,3.808585617,261.35,pre-2026
2024-04-04,3.790496714,217.96,pre-2026
2024-04-11,3.792436376,187.68,pre-2026
2024-04-18,3.801160972,181.93,pre-2026
2024-04-25,3.784406065,158.61,pre-2026
2024-05-02,3.727925065,113.97,pre-2026
2024-05-09,3.751391447,135.28,pre-2026
2024-05-16,3.757992779,156.41,pre-2026
2024-05-23,3.752872565,160.7,pre-2026
2024-05-30,3.688475112,164.29,pre-2026
2024-06-06,3.706353719,181.09,pre-2026
2024-06-13,3.709629833,185.44,pre-2026
2024-06-20,3.657272129,211.96,pre-2026
2024-06-27,3.64214857,268.97,pre-2026
2024-07-04,3.680545778,386.21,pre-2026
2024-07-11,3.696777456,564.55,pre-2026
2024-07-18,3.762756833,690.36,pre-2026
2024-07-25,3.789606037,732.52,pre-2026
2024-08-01,3.8124738,682.63,pre-2026
2024-08-08,3.827256262,543.06,pre-2026
2024-08-15,3.795736535,444.36,pre-2026
2024-08-22,3.803312603,454.29,pre-2026
2024-08-29,3.792157077,381.24,pre-2026
2024-09-05,3.756599927,327.17,pre-2026
2024-09-12,3.764223628,256.57,pre-2026
2024-09-19,3.793498767,204.71,pre-2026
2024-09-26,3.797285419,167.05,pre-2026
2024-10-03,3.79254002,141.55,pre-2026
2024-10-10,3.785962535,107.99,pre-2026
2024-10-17,3.760322794,85.2,pre-2026
2024-10-24,3.745552018,78.17,pre-2026
2024-10-31,3.725645851,72.48,pre-2026
2024-11-07,3.706465244,68.48,pre-2026
2024-11-14,3.686915902,90.01,pre-2026
2024-11-21,3.615313953,87.78,pre-2026
2024-11-28,3.643289565,116.05,pre-2026
2024-12-05,3.689906577,147.11,pre-2026
2024-12-12,3.713163128,185.33,pre-2026
2024-12-19,3.739927317,260.71,pre-2026
2024-12-26,3.763049364,332.82,pre-2026
2025-01-02,3.702760815,270.1,pre-2026
2025-01-09,3.792742443,358.18,pre-2026
2025-01-16,3.806764122,286.87,pre-2026
2025-01-23,3.814670933,304.64,pre-2026
2025-01-30,3.819636388,295.14,pre-2026
2025-02-06,3.814648571,275.19,pre-2026
2025-02-13,3.811051382,245.88,pre-2026
2025-02-20,3.806049433,234.99,pre-2026
2025-02-27,3.805575738,211.1,pre-2026
2025-03-06,3.807108728,195.24,pre-2026
2025-03-13,3.81056593,185.72,pre-2026
2025-03-20,3.811387019,156.92,pre-2026
2025-03-27,3.803380441,144.23,pre-2026
2025-04-03,3.786028496,108.51,pre-2026
2025-04-10,3.790872078,107.37,pre-2026
2025-04-17,3.779715252,91.69,pre-2026
2025-04-24,3.792397959,70.7,pre-2026
2025-05-01,3.795395869,55.75,pre-2026
2025-05-08,3.792274489,47.73,pre-2026
2025-05-15,3.800811881,47.09,pre-2026
2025-05-22,3.780357045,39.22,pre-2026
2025-05-29,3.768206286,38.8,pre-2026
2025-06-05,3.72513051,41.38,pre-2026
2025-06-12,3.718355033,39.81,pre-2026
2025-06-19,3.64474348,46.19,pre-2026
