date,S,cases,window
2023-04-27,3.693589790207013,89.01,estimation
2023-05-04,3.6800663143746926,90.66,estimation
2023-05-11,3.781490921459112,124.73,estimation
2023-05-18,3.7577744732969522,165.34,estimation
2023-05-25,3.7720174000113333,165.32,estimation
2023-06-01,3.764011840397986,205.84,estimation
2023-06-08,3.773391880118431,230.02,estimation
2023-06-15,3.7176890793580633,256.67,estimation
2023-06-22,3.669380202098579,288.55,estimation
2023-06-29,3.6685671331369343,350.89,estimation
2023-07-06,3.739870154983306,454.08,estimation
2023-07-13,3.767115922362084,552.0,estimation
2023-07-20,3.7916436791010297,701.27,estimation
2023-07-27,3.79835579503791,802.46,estimation
2023-08-03,3.8059587350730157,793.24,estimation
2023-08-10,3.822170494356438,702.11,estimation
2023-08-17,3.811669179127966,889.03,estimation
2023-08-24,3.8157331100965672,925.82,estimation
2023-08-31,3.817031226062673,971.89,estimation
2023-09-07,3.827630375205749,949.6,estimation
2023-09-14,3.8344583276771673,804.47,estimation
2023-09-21,3.8361067414626038,513.23,estimation
2023-09-28,3.8357316480126964,410.36,estimation
2023-10-05,3.8308327738583063,246.87,estimation
2023-10-12,3.820959977208344,182.14,estimation
2023-10-19,3.8117072293569043,155.2,estimation
2023-10-26,3.7895936244283126,140.54,estimation
2023-11-02,3.7758989469139426,118.71,estimation
2023-11-09,3.7800028520613087,97.32,estimation
2023-11-16,3.7690834731066487,93.42,estimation
2023-11-23,3.7764160307090147,109.49,estimation
2023-11-30,3.780399421575682,131.85,estimation
2023-12-07,3.796282687430972,170.31,estimation
2023-12-14,3.7900960769388012,201.72,estimation
2023-12-21,3.7867620688838812,217.07,estimation
2023-12-28,3.7997472174577727,281.19,estimation
2024-01-04,3.7928287919187436,346.87,estimation
2024-01-11,3.8100294490799853,439.55,estimation
2024-01-18,3.8173515461300673,599.95,estimation
2024-01-25,3.8116539979608555,712.12,estimation
2024-02-01,3.8197136193660177,780.2,estimation
2024-02-08,3.819396063123327,677.97,estimation
2024-02-15,3.824124928154446,504.19,estimation
2024-02-22,3.8267780710605046,397.76,estimation
2024-02-29,3.8131503381039664,355.12,estimation
2024-03-07,3.81580069299502,337.67,estimation
2024-03-14,3.810619993286757,317.66,estimation
2024-03-21,3.812861157521322,267.96,estimation
2024-03-28,3.808585618529838,261.35,estimation
2024-04-04,3.790496715171717,217.96,estimation
2024-04-11,3.792436375969636,187.68,estimation
2024-04-18,3.8011609720622603,181.93,estimation
2024-04-25,3.7844060648683016,158.61,estimation
2024-05-02,3.727925066470275,113.97,estimation
2024-05-09,3.751391446588202,135.28,estimation
2024-05-16,3.7579927796963815,156.41,estimation
2024-05-23,3.752872564297008,160.7,estimation
2024-05-30,3.6884751138107017,164.29,estimation
2024-06-06,3.70635371876856,181.09,estimation
2024-06-13,3.7096298337786555,185.44,estimation
2024-06-20,3.6572721290335846,211.96,estimation
2024-06-27,3.64214856952768,268.97,estimation
2024-07-04,3.6805457770789913,386.21,estimation
2024-07-11,3.696777456720346,564.55,estimation
2024-07-18,3.7627568323212435,690.36,estimation
2024-07-25,3.7896060367100945,732.52,estimation
2024-08-01,3.8124738005691037,682.63,estimation
2024-08-08,3.8272562624564,543.06,estimation
2024-08-15,3.7957365347765517,444.36,estimation
2024-08-22,3.803312602386195,454.29,estimation
2024-08-29,3.7921570762896284,381.24,estimation
2024-09-05,3.756599926241551,327.17,estimation
2024-09-12,3.764223627499421,256.57,estimation
2024-09-19,3.7934987682111525,204.71,estimation
2024-09-26,3.797285419150829,167.05,estimation
2024-10-03,3.7925400203695157,141.55,estimation
2024-10-10,3.785962532997181,107.99,estimation
2024-10-17,3.760322794858382,85.2,estimation
2024-10-24,3.7455520163218976,78.17,estimation
2024-10-31,3.7256458519288094,72.48,estimation
2024-11-07,3.70646524386576,68.48,estimation
2024-11-14,3.6869159006925276,90.01,estimation
2024-11-21,3.6153139495361017,87.78,estimation
2024-11-28,3.6432895643532506,116.05,estimation
2024-12-05,3.6899065770940775,147.11,estimation
2024-12-12,3.713163128228595,185.33,estimation
2024-12-19,3.7399273186342077,260.71,estimation
2024-12-26,3.7630493639836184,332.82,estimation
2025-01-02,3.7027608140880925,270.1,estimation
2025-01-09,3.7927424439260964,358.18,estimation
2025-01-16,3.8067641213104166,286.87,estimation
2025-01-23,3.8146709333688436,304.64,estimation
2025-01-30,3.8196363878106583,295.14,estimation
2025-02-06,3.814648571006253,275.19,estimation
2025-02-13,3.811051382937694,245.88,estimation
2025-02-20,3.806049433495284,234.99,estimation
2025-02-27,3.805575739032928,211.1,estimation
2025-03-06,3.8071087268843655,195.24,estimation
2025-03-13,3.8105659306166344,185.72,estimation
2025-03-20,3.811387018945122,156.92,estimation
2025-03-27,3.8033804398501,144.23,estimation
2025-04-03,3.7860284958732535,108.51,estimation
2025-04-10,3.7908720775021973,107.37,estimation
2025-04-17,3.7797152506743696,91.69,estimation
2025-04-24,3.792397959751394,70.7,estimation
2025-05-01,3.795395868706344,55.75,estimation
2025-05-08,3.7922744886449578,47.73,estimation
2025-05-15,3.8008118815627596,47.09,estimation
2025-05-22,3.7803570448951604,39.22,estimation
2025-05-29,3.7682062848546183,38.8,estimation
2025-06-05,3.7251305097980345,41.38,estimation
2025-06-12,3.7183550320459955,39.81,estimation
2025-06-19,3.644743478251386,46.19,estimation
2025-06-26,3.5618798027933685,66.17,estimation
2025-07-03,3.5411998310910717,92.82,estimation
2025-07-10,3.5872498010505285,113.17,estimation
2025-07-17,3.6604959700201585,148.22,estimation
2025-07-24,3.7246442810101557,195.94,estimation
2025-07-31,3.7527515494086616,261.02,estimation
2025-08-07,3.77867114939045,299.07,estimation
2025-08-14,3.791590367061899,327.39,estimation
2025-08-21,3.8059350796656073,462.47,estimation
2025-08-28,3.813720463012662,444.22,estimation
2025-09-04,3.808125296842944,440.85,estimation
2025-09-11,3.8095995489089023,440.35,estimation
2025-09-18,3.8103778948185503,360.61,estimation
2025-09-25,3.821511411124126,300.29,estimation
2025-10-02,3.8192836765201004,244.34,estimation
2025-10-09,3.8262099124168856,185.29,estimation
2025-10-16,3.8199376243718137,129.42,estimation
2025-10-23,3.794278984975834,113.17,estimation
2025-10-30,3.7790045588928,115.76,estimation
2025-11-06,3.7535816003789355,101.78,estimation
2025-11-13,3.75158062363916,101.23,estimation
2025-11-20,3.714581750655234,85.2,estimation
2025-11-27,3.694377590519211,75.14,estimation
2025-12-04,3.713714704808289,64.5,estimation
2025-12-11,3.6851133730983006,62.46,estimation
2025-12-18,3.6647113772999402,63.3,estimation
2025-12-25,3.6477775039357336,65.15,estimation
2026-01-01,3.5809696581492454,59.43,estimation
2026-01-08,3.6768984103908324,80.28,estimation
2026-01-15,3.688985437193057,78.43,estimation
2026-01-22,3.6508435253242864,102.66,estimation
2026-01-29,3.613270247009481,127.52,estimation
2026-02-05,3.6347606289586007,137.43,estimation
2026-02-12,3.626868228942159,108.04,estimation
2026-02-19,3.633056889636324,91.43,estimation
2026-02-26,3.6719119890322367,70.88,estimation
2026-03-05,3.6158273694483745,65.9,estimation
2026-03-12,3.639562917834621,59.8,estimation
2026-03-19,3.618897518671287,54.4,estimation
2026-03-26,3.653284827764669,48.3,estimation
2026-04-02,3.6060039368074293,40.55,estimation
2026-04-09,3.622927444355433,32.96,estimation
2026-04-16,3.6213507149751765,35.79,estimation
2026-04-23,3.631525682601111,34.66,estimation
2026-04-30,3.6650227452746043,32.5,estimation
2026-05-07,3.676997911619705,18.56,estimation
2026-05-14,3.6667159486668144,21.69,out-of-sample
2026-05-21,3.5752815767100725,21.08,out-of-sample
2026-05-28,3.6040446802937325,19.43,out-of-sample
2026-06-04,3.534667598428378,23.67,out-of-sample
2026-06-11,3.366551190392461,33.97,out-of-sample
2026-06-18,3.2494607650637803,51.33,out-of-sample
2026-06-25,3.1449384690496105,67.74,out-of-sample
2026-07-02,3.1641623648263324,92.99,out-of-sample
2026-07-09,3.2717208556831903,118.34,out-of-sample
2026-07-16,3.404883961584979,133.61,out-of-sample
2026-07-23,3.5710159378035344,92.27,out-of-sample
2026-07-30,3.600623551635877,104.33,out-of-sample
2026-08-06,3.6412526718197484,108.28,out-of-sample
2026-08-13,3.6746683604989574,64.31,out-of-sample
